Timestamp, Time_Remaining, Total_Water, Total_Alive_Trees, Total_Dead_Trees, Total_Creatures, Desert_Water, MountainValley_Water, Plains_Water, Waterfall_Water, Floor_Water, Jungle_Water, Reservoir_Water, Wetlands_Water, Desert_Clouds, MountainValley_Clouds, Plains_Clouds, Waterfall_Clouds, Jungle_Clouds, Reservoir_Clouds, Wetlands_Clouds, Desert_Creatures, MountainValley_Creatures, Plains_Creatures, Jungle_Creatures, Reservoir_Creatures, Wetlands_Creatures, Desert_lv1, Desert_lv2, Desert_lv3, Desert_lv4, Plains_lv1, Plains_lv2, Plains_lv3, Plains_lv4, Jungle_lv1, Jungle_lv2, Jungle_lv3, Jungle_lv4, Wetlands_lv1, Wetlands_lv2, Wetlands_lv3, Wetlands_lv4, Desert_Dead_lv1, Desert_Dead_lv2, Desert_Dead_lv3, Desert_Dead_lv4, Desert_Balance, Plains_Dead_lv1, Plains_Dead_lv2, Plains_Dead_lv3, Plains_Dead_lv4, Plains_Balance, Jungle_Dead_lv1, Jungle_Dead_lv2, Jungle_Dead_lv3, Jungle_Dead_lv4, Jungle_Balance, Wetlands_Dead_lv1, Wetlands_Dead_lv2, Wetlands_Dead_lv3, Wetlands_Dead_lv4, Wetlands_Balance, Desert_Users, MountainValley_Users, Plains_Users, Jungle_Users, Reservoir_Users, Wetlands_Users, Desert_WaterBins, Desert_FloodBins, MountainValley_WaterBins, MountainValley_FloodBins, Plains_WaterBins, Plains_FloodBins, Jungle_WaterBins, Jungle_FloodBins, Reservoir_WaterBins, Reservoir_FloodBins, Wetlands_WaterBins, Wetlands_FloodBins, Desert_PlantIndex, Desert_CreatureIndex, MountainValley_PlantIndex, MountainValley_CreatureIndex, Plains_PlantIndex, Plains_CreatureIndex, Jungle_PlantIndex, Jungle_CreatureIndex, Reservoir_PlantIndex, Reservoir_CreatureIndex, Wetlands_PlantIndex, Wetlands_CreatureIndex
2017-08-24-09-41-13, 00:20:00, 1.54, 0, 0, 1, 0.046171, 0.0403481, 0.0845343, 0.460532, 0.0997292, 0.269873, 0.551721, 0.1462, 1, 1, 1, 7, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.25-0.24-0.15-0.1-0.05-0-0-0-0-0, 0-0-0-0-0-0-0-0-0-0, , , 0-0-0-0-0-0.3-0.8-0.3-0-0, 0-0-0-0-0-0-0-0-0-0, 0-0-0-0-0-0-0.3-3.33-2.89-0, 0-0-0-0-0-0-0-1-0.89-0, , , 0-0-0-0-0.3-1.8-1.36-0-0-0, 0-0-0-0-0-0.38-0.17-0-0-0, , , , T5Q1, , , , , , T20Q15-T21Q70-T23Q2, , 
2017-08-24-09-41-14, 00:19:59, 6, 0, 0, 1, 0.770676, 0.241329, 0.75942, 3.58576, 0.0145601, 0.768304, 0.515368, 0.761271, 1, 1, 1, 7, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2.01-2.01-2.01-2.01-2.01-2.01-2.01-2.01-2.01-2.01, 0.48-0.48-0.48-0.48-0.48-0.48-0.48-0.48-0.48-0.48, , , 2.01-2.01-2.01-1.98-1.96-1.96-1.96-1.98-2-2.01, 0.48-0.48-0.48-0.46-0.45-0.45-0.46-0.46-0.47-0.48, 2.01-2.01-2.01-2.01-2.01-2-1.99-2-1.99-1.99, 0.48-0.48-0.48-0.48-0.48-0.47-0.47-0.47-0.47-0.47, , , 2.01-2.01-2.01-2.01-2.01-2-2.01-2.01-2.01-2.01, 0.48-0.48-0.48-0.48-0.48-0.47-0.48-0.48-0.48-0.48, , , , T5Q1, , , , , , T20Q15-T21Q70-T23Q2, , 
2017-08-24-09-41-15, 00:19:57, 6, 0, 0, 1, 0.767719, 0.233483, 0.742929, 3.4225, 0.0775732, 0.756116, 0.515368, 0.751279, 1, 1, 1, 7, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2.01-2.01-2.01-2.01-2.01-2-2-2-2.01-2, 0.48-0.48-0.48-0.48-0.47-0.47-0.47-0.47-0.48-0.47, , , 2.01-2.01-2-1.94-1.87-1.86-1.86-1.9-1.98-2.01, 0.48-0.48-0.47-0.44-0.41-0.4-0.4-0.43-0.46-0.48, 2.01-2.01-2.01-2.01-2.01-1.97-1.92-1.92-1.92-1.93, 0.48-0.48-0.48-0.48-0.48-0.46-0.44-0.43-0.43-0.44, , , 1.99-1.99-1.99-1.96-1.95-1.94-1.97-2-2.01-2.01, 0.47-0.47-0.47-0.45-0.45-0.45-0.46-0.47-0.48-0.48, , , , T5Q1, , , , , , T20Q15-T21Q70-T23Q2, , 
2017-08-24-09-41-17, 00:19:56, 6, 0, 0, 2, 0.76288, 0.225637, 0.731323, 3.25594, 0.130056, 0.746482, 0.515368, 0.741331, 1, 0, 1, 7, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2.01-2.01-2-1.99-1.99-1.99-1.98-1.98-1.99-1.98, 0.48-0.48-0.47-0.47-0.47-0.47-0.46-0.46-0.47-0.46, , , 2.01-2.01-1.99-1.91-1.81-1.78-1.77-1.85-1.96-2, 0.48-0.48-0.47-0.43-0.38-0.37-0.37-0.4-0.45-0.47, 2.01-2.01-2.01-2.01-2-1.93-1.86-1.86-1.86-1.89, 0.48-0.48-0.48-0.48-0.47-0.44-0.41-0.41-0.41-0.42, , , 1.95-1.97-1.96-1.91-1.89-1.89-1.94-1.99-2.01-2.01, 0.45-0.46-0.45-0.43-0.42-0.42-0.44-0.47-0.48-0.48, , , , T5Q2, , , , , , T20Q15-T21Q70-T23Q2, , 
2017-08-24-09-41-19, 00:19:54, 6, 0, 0, 2, 0.750917, 0.208636, 0.715237, 3.01254, 0.222187, 0.731157, 0.515368, 0.723273, 1, 0, 1, 7, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2.01-2.01-1.99-1.97-1.95-1.95-1.93-1.93-1.95-1.91, 0.48-0.47-0.47-0.46-0.45-0.45-0.44-0.44-0.45-0.43, , , 2.01-2.01-1.98-1.86-1.72-1.67-1.67-1.78-1.94-2, 0.48-0.48-0.46-0.41-0.34-0.32-0.32-0.37-0.44-0.47, 2.01-2.01-2.01-2.01-1.99-1.89-1.77-1.76-1.77-1.82, 0.48-0.48-0.48-0.48-0.47-0.42-0.36-0.36-0.37-0.39, , , 1.88-1.92-1.9-1.82-1.79-1.79-1.87-1.97-2-2.01, 0.42-0.43-0.43-0.39-0.37-0.37-0.41-0.46-0.47-0.48, , , , T5Q2, , , , , , T20Q15-T21Q70-T23Q2, , 
2017-08-24-09-41-20, 00:19:53, 6, 0, 0, 2, 0.750917, 0.20079, 0.708112, 2.89613, 0.259044, 0.72587, 0.515368, 0.716506, 1, 0, 1, 7, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2.01-2.01-1.99-1.97-1.95-1.95-1.93-1.93-1.95-1.91, 0.48-0.47-0.47-0.46-0.45-0.45-0.44-0.44-0.45-0.43, , , 2-2-1.98-1.84-1.68-1.62-1.62-1.75-1.94-2, 0.47-0.47-0.46-0.4-0.32-0.29-0.29-0.35-0.44-0.47, 2.01-2.01-2.01-2.01-1.99-1.87-1.74-1.72-1.74-1.8, 0.48-0.48-0.48-0.47-0.47-0.41-0.35-0.34-0.35-0.38, , , 1.85-1.9-1.88-1.79-1.76-1.75-1.84-1.97-2-2.01, 0.4-0.42-0.42-0.37-0.36-0.35-0.4-0.46-0.47-0.48, , , , T5Q2, , , , , , T20Q15-T21Q70-T23Q2, , 
2017-08-24-09-41-22, 00:19:51, 6, 0, 0, 2, 0.740746, 0.18379, 0.693358, 2.71786, 0.335924, 0.714432, 0.515368, 0.705439, 1, 0, 1, 7, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2-2-1.98-1.94-1.92-1.92-1.89-1.89-1.91-1.86, 0.47-0.47-0.46-0.44-0.43-0.43-0.42-0.42-0.43-0.4, , , 2-2-1.97-1.79-1.59-1.52-1.53-1.69-1.91-1.99, 0.47-0.47-0.46-0.37-0.28-0.24-0.25-0.33-0.43-0.47, 2-2-2-2-1.98-1.83-1.67-1.65-1.67-1.75, 0.47-0.47-0.47-0.47-0.46-0.39-0.31-0.31-0.31-0.35, , , 1.8-1.87-1.85-1.74-1.7-1.69-1.8-1.95-2-2, 0.38-0.41-0.4-0.35-0.33-0.32-0.38-0.45-0.47-0.47, , , , T5Q2, , , , , , T20Q15-T21Q70-T23Q2, , 
2017-08-24-09-41-23, 00:19:50, 6, 0, 0, 2, 0.739357, 0.175944, 0.688025, 2.63834, 0.336874, 0.713075, 0.515368, 0.702706, 1, 0, 1, 7, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2-2-1.98-1.94-1.92-1.92-1.89-1.88-1.9-1.84, 0.47-0.47-0.46-0.44-0.44-0.43-0.42-0.42-0.42-0.4, , , 2-2-1.96-1.77-1.55-1.48-1.5-1.68-1.9-1.99, 0.47-0.47-0.46-0.36-0.26-0.22-0.23-0.32-0.43-0.47, 2-2-2-2-1.98-1.82-1.66-1.65-1.66-1.74, 0.47-0.47-0.47-0.47-0.46-0.39-0.31-0.3-0.31-0.35, , , 1.78-1.85-1.84-1.72-1.67-1.65-1.77-1.94-1.99-2, 0.37-0.4-0.4-0.34-0.31-0.31-0.36-0.44-0.47-0.47, , , , T5Q2, , , , , , T20Q15-T21Q70-T23Q2, , 
2017-08-24-09-41-24, 00:19:49, 6, 0, 0, 2, 0.738237, 0.16679, 0.681349, 2.57723, 0.336715, 0.710318, 0.515368, 0.696701, 1, 0, 1, 7, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2-2-1.98-1.95-1.93-1.92-1.88-1.87-1.88-1.82, 0.47-0.47-0.46-0.45-0.44-0.43-0.42-0.41-0.42-0.39, , , 2-2-1.96-1.75-1.51-1.43-1.46-1.65-1.89-1.99, 0.47-0.47-0.45-0.36-0.24-0.2-0.21-0.31-0.42-0.47, 2-2-2-2-1.97-1.79-1.63-1.64-1.65-1.73, 0.47-0.47-0.47-0.47-0.46-0.37-0.3-0.3-0.31-0.34, , , 1.75-1.84-1.83-1.69-1.63-1.62-1.75-1.93-1.99-2, 0.35-0.39-0.39-0.32-0.3-0.29-0.35-0.44-0.47-0.47, , , , T5Q2, , , , , , T20Q15-T21Q70-T23Q2, , 
2017-08-24-09-41-25, 00:19:48, 6, 0, 0, 2, 0.736938, 0.158944, 0.675255, 2.51346, 0.336051, 0.760482, 0.515368, 0.6911, 1, 0, 1, 7, 2, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2-1.99-1.98-1.95-1.94-1.92-1.88-1.86-1.87-1.8, 0.47-0.47-0.46-0.45-0.44-0.43-0.41-0.41-0.41-0.38, , , 2-2-1.96-1.73-1.46-1.38-1.43-1.64-1.88-1.98, 0.47-0.47-0.45-0.34-0.22-0.18-0.2-0.3-0.42-0.46, 2-2-2-2-1.97-1.78-1.62-1.65-1.65-1.72, 0.47-0.47-0.47-0.47-0.46-0.37-0.29-0.3-0.31-0.34, , , 1.73-1.83-1.82-1.68-1.62-1.6-1.73-1.93-1.99-2, 0.35-0.39-0.39-0.32-0.29-0.28-0.35-0.44-0.47-0.47, , , , T5Q2, , , , , , T20Q15-T21Q70-T23Q2, , 
